;$FILEVERSION=1.1
;$STARTTIME=46168.6396648727
;
;   Start time: 26/05/2026 15:21:07.045.0
;   Generated by PCAN-View v5.3.3.958
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   169)     1882.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
   170)     1889.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   171)     1915.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   172)     1923.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   173)     1934.6  Rx      0610  8  00 00 00 00 00 00 00 00 
   174)     1957.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   175)     1969.6  Rx      0618  8  00 01 00 64 AB 13 00 00 
   176)     1984.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   177)     1991.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   178)     1992.5  Rx      0628  8  0A 04 6F 00 20 00 00 00 
   179)     2015.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   180)     2025.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   181)     2035.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   182)     2059.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   183)     2070.5  Rx      0618  8  00 01 00 64 AB 13 00 00 
   184)     2071.5  Rx      0625  8  00 00 00 00 32 00 00 00 
   185)     2086.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
   186)     2093.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   187)     2115.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   188)     2127.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   189)     2136.6  Rx      0610  8  00 00 00 00 00 00 00 00 
   190)     2161.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   191)     2171.5  Rx      0618  8  00 01 00 64 AC 13 00 00 
   192)     2188.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   193)     2195.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   194)     2215.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   195)     2229.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   196)     2237.6  Rx      0610  8  00 00 00 00 00 00 00 00 
   197)     2263.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   198)     2272.5  Rx      0618  8  00 01 00 64 AC 13 00 00 
   199)     2290.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   200)     2297.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   201)     2315.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   202)     2331.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   203)     2338.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   204)     2349.5  Rx      0620  8  0A 19 00 00 81 02 00 00 
   205)     2365.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   206)     2373.5  Rx      0618  8  00 01 00 64 AB 13 00 00 
   207)     2388.4  Rx      0037  3  00 00 00 
   208)     2388.9  Rx      0030  8  07 40 00 04 00 00 00 33 
   209)     2392.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   210)     2399.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   211)     2415.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   212)     2433.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   213)     2439.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   214)     2467.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   215)     2474.5  Rx      0618  8  00 01 00 64 AD 13 00 00 
   216)     2494.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   217)     2501.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   218)     2515.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   219)     2515.6  Rx      0100  8  2C 46 F9 F1 12 C0 E7 E3 
   220)     2518.6  Rx      0101  8  13 88 00 17 00 60 8B 52 
   221)     2521.6  Rx      0102  8  00 00 00 00 00 00 1B 00 
   222)     2524.6  Rx      0104  4  1C 03 71 49 
   223)     2527.6  Rx      0105  8  0B B0 0B BA 0B A6 31 E4 
   224)     2530.6  Rx      0107  8  0F CB 0F D2 0F CE 7D 82 
   225)     2533.6  Rx      0108  8  0F D5 0F D1 0F CD 7E 9A 
   226)     2535.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   227)     2536.6  Rx      0109  8  0F D4 0F D0 0F CC BE 37 
   228)     2539.6  Rx      010A  8  0F D3 0F CF 0F CB 7A F2 
   229)     2540.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   230)     2542.6  Rx      010B  8  0F D2 0F CE 0F D5 72 1E 
   231)     2545.6  Rx      010C  8  0F D1 0F CD 0F D4 B2 6B 
   232)     2548.6  Rx      010D  8  0F D0 0F CC 0F D3 70 46 
   233)     2551.6  Rx      010E  8  0F CF 0F CB 0F D2 B3 A3 
   234)     2554.6  Rx      010F  8  0F CE 0F D5 0F D1 74 BE 
   235)     2557.6  Rx      0110  8  0F CD 00 00 00 00 34 2D 
   236)     2569.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   237)     2575.5  Rx      0618  8  00 01 00 64 AB 13 00 00 
   238)     2596.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   239)     2603.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   240)     2615.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   241)     2637.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   242)     2641.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   243)     2671.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   244)     2676.5  Rx      0618  8  00 01 00 64 AD 13 00 00 
   245)     2698.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   246)     2705.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   247)     2715.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   248)     2739.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   249)     2742.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   250)     2749.5  Rx      0628  8  07 04 6F 00 20 00 00 00 
   251)     2773.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   252)     2777.5  Rx      0618  8  00 01 00 64 AC 13 00 00 
   253)     2800.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   254)     2807.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   255)     2815.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   256)     2841.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   257)     2843.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   258)     2875.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   259)     2878.5  Rx      0618  8  00 01 00 64 AB 13 00 00 
   260)     2902.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   261)     2909.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   262)     2915.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   263)     2943.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   264)     2944.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   265)     2960.5  Rx      0625  8  00 00 00 00 32 00 00 00 
   266)     2977.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   267)     2979.5  Rx      0618  8  00 01 00 64 AD 13 00 00 
   268)     3004.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   269)     3011.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   270)     3015.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   271)     3045.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   272)     3045.7  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   273)     3079.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   274)     3080.5  Rx      0618  8  00 01 00 64 AD 13 00 00 
   275)     3106.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   276)     3113.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   277)     3115.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   278)     3146.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   279)     3147.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   280)     3181.5  Rx      0618  8  00 01 00 64 AC 13 00 00 
   281)     3181.7  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   282)     3208.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   283)     3215.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   284)     3215.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   285)     3247.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   286)     3249.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   287)     3282.5  Rx      0618  8  00 01 00 64 AB 13 00 00 
   288)     3283.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   289)     3310.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   290)     3315.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   291)     3317.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   292)     3348.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   293)     3350.5  Rx      0620  8  0A 19 00 00 81 02 00 00 
   294)     3351.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   295)     3383.5  Rx      0618  8  00 01 00 64 AC 13 00 00 
   296)     3385.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   297)     3412.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   298)     3415.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   299)     3419.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   300)     3449.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   301)     3453.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   302)     3484.5  Rx      0618  8  00 01 00 64 AD 13 00 00 
   303)     3487.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   304)     3506.5  Rx      0628  8  0A 04 6F 00 20 00 00 00 
   305)     3514.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   306)     3515.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   307)     3515.6  Rx      0100  8  2C 22 F9 83 12 8E 00 B2 
   308)     3518.6  Rx      0101  8  13 88 00 17 00 5F 9B 12 
   309)     3521.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   310)     3521.6  Rx      0102  8  00 00 00 00 00 00 1B 00 
   311)     3524.6  Rx      0104  4  1C 03 71 49 
   312)     3527.6  Rx      0105  8  0B B0 0B BA 0B A6 31 E4 
   313)     3530.6  Rx      0107  8  0F BE 0F C5 0F C1 B6 FF 
   314)     3533.6  Rx      0108  8  0F C8 0F C4 0F C0 7D A6 
   315)     3536.6  Rx      0109  8  0F C7 0F C3 0F BF 5D 02 
   316)     3539.6  Rx      010A  8  0F C6 0F C2 0F BE 9D AF 
   317)     3542.6  Rx      010B  8  0F C5 0F C1 0F C8 7B 9A 
   318)     3545.6  Rx      010C  8  0F C4 0F C0 0F C7 7F B6 
   319)     3548.6  Rx      010D  8  0F C3 0F BF 0F C6 A7 F3 
   320)     3550.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   321)     3551.6  Rx      010E  8  0F C2 0F BE 0F C5 A6 DF 
   322)     3554.6  Rx      010F  8  0F C1 0F C8 0F C4 BC BB 
   323)     3555.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   324)     3557.6  Rx      0110  8  0F C0 00 00 00 00 F5 00 
   325)     3585.5  Rx      0618  8  00 01 00 64 AC 13 00 00 
   326)     3589.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   327)     3615.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   328)     3616.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   329)     3623.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   330)     3651.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   331)     3657.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   332)     3686.5  Rx      0618  8  00 01 00 64 AB 13 00 00 
   333)     3691.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   334)     3715.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   335)     3718.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   336)     3725.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   337)     3752.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   338)     3759.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   339)     3787.5  Rx      0618  8  00 01 00 64 AB 13 00 00 
   340)     3793.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   341)     3815.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   342)     3820.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   343)     3827.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   344)     3849.5  Rx      0625  8  00 00 00 00 32 00 00 00 
   345)     3853.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   346)     3861.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   347)     3888.5  Rx      0618  8  00 01 00 64 AC 13 00 00 
   348)     3895.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   349)     3915.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   350)     3922.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   351)     3929.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   352)     3954.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   353)     3963.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   354)     3989.5  Rx      0618  8  00 01 00 64 AB 13 00 00 
   355)     3997.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   356)     4015.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   357)     4024.5  Rx      0600  8  0A 64 01 00 00 40 00 00 
   358)     4031.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   359)     4055.5  Rx      0610  8  00 00 00 00 00 00 00 00 
   360)     4065.6  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   361)     4090.5  Rx      0618  8  00 01 00 64 AA 13 00 00 
   362)     4099.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
   363)     4115.6  Rx  1839F380  8  01 19 20 1C 08 07 00 A6 
   364)     4126.6  Rx      0600  8  0A 64 01 00 00 40 00 00 
   365)     4133.5  Rx      0626  8  00 00 FE 7F 00 00 00 00 
